Card Name,Card Link,ÁTE tájékoztatás,EREN-re vihető,Veszély típusa 3.,Veszély típusa 2.,Veszély típusa,Veszély jellemzése,Keywords,2. SZŰRÉS,Tájékoztató kész,"Dokumentum, publikáció az üggyel kapcsolatban 2.",Információforrás megnevezése/affiliációja,Információ elsődleges forrása,"Dokumentum, publikáció az üggyel kapcsolatban",Intézkedés megtörtént,További intézkedések,2. SZŰRÉS Kockázatkezelési lehetőség ismert?,2. SZŰRÉS Súlyosság,2. SZŰRÉS Mérték,2. SZŰRÉS Időbeli közelség,2. SZŰRÉS Megalapozottság,2. SZŰRÉS összpontszáma,1. SZŰRÉS,2. SZŰRÉS EREDMÉNYE,1. SZŰRÉS eredménye,Előszűrés,Titkos ügykezelést igényel,Esemény típusa,Újraértékelés rendszeressége,"Dokumentum, publikáció az üggyel kapcsolatban 3.",Milyen driver hat rá?,Driver hatás,1. SZŰRÉS indoklása,Esemény (kockázat megjelenésének) dátuma,Információhoz való hozzáférés dátuma,Intézkedés leírása,Minek köszönhető a megnövekedett kitettség/érzékenység?,Signal,Értesítendő szerv,Előszűrés indoklása,HAZARDcat 1,PRODcat 1,DRIVERs 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,NÉBIH tájékoztatás,2. SZŰRÉS indoklása,Jelezni kell társintézménynek
Pet Cuddling Risks: How Close Contact Can Be Lethal for Pet Owners (Pet Owners Warned: Common skin Treatments Pose Hidden Dangers To Beloved Animals),https://trello.com/c/68dac2c4ec28ddb0350b7f76,,,,,Egyéb,"Hormone-based drugs and hair treatments like minoxidil can fatally poison pets through contact or licking, prompting safety warnings for pet owners and families.",#PetPoisoning #Minoxidil #Hormones #Toxicity #Exposure,,,Médiamegjelenés,EMM,Médiából,Médiamegjelenés,,,,,,,,,,,,,Nem igényel,Egészségügyi,,Médiamegjelenés,,,,,2025-09-23 10:00:00+00:00,,,,,,4 Other hazards,,,,,,,,,
Risks related to coffee consumption/coffee beans,https://trello.com/c/68dac34003aad9c4d75c4a24,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-23 10:00:00+00:00,,,,,,,,,,,,,,,
"Fastac, a pesticide banned in Europe, continues to be manufactured near Lyon",https://trello.com/c/68dac3961ece27aa6d25beb0,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-23 10:00:00+00:00,,,,,,,,,,,,,,,
Experts warn of Salmonella Dublin: Cattle-born superbug that is spreading to humans,https://trello.com/c/68dac3c359ccc088ad9abecd,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-09-23 10:00:00+00:00,,,,,,,,,,,,,,,
The potential spread of Shewanella spp.,https://trello.com/c/68f624e5e17351b14d3b338d,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
Foodborne diseases caused by Klebsiella spp.,https://trello.com/c/68f625ad4bd35df77c4126b7,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
PUBLISH ASAP - Zoonotic potential of Corynebacterium silvaticum and its occurrence in Europe,https://trello.com/c/68f6269ee7a6c7aa87194040,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
Oropouche virus: a potentially emerging risk for europe,https://trello.com/c/68f627c00d338af8a28f51b3,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
Probiotics and Antibiotic Resistance: Emerging Risks and Regulatory Challenges,https://trello.com/c/68f6288a2e842c76398d48e5,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
Human infection with Type 1 avian paramyxoviruses (APMV 1),https://trello.com/c/68f629f0d908534a3973df39,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
"Chloropicrin, a banned chemical with agricultural fumigant properties",https://trello.com/c/68f62b06a5bd12e4960cb483,,,,,,,,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
More shrimp sold at Kroger stores recalled for possible radioactive contamination,https://trello.com/c/6909b1a07af38ee4c91a028b,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
Acetamiprid,https://trello.com/c/6909b238a87a4baf79fc4346,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2025-10-21 10:00:00+00:00,,,,,,,,,,,,,,,
Emerging viruses special issue regarding fruites and vegetables,https://trello.com/c/654de17dad8586f366156e42,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,3 hónap,,,,,,2023-11-08 11:00:00+00:00,,,,,,,,,,,,,,,
"Macskatápokat hívtak vissza, mert páncitopénia alakult ki az állatoknál",https://trello.com/c/614c43f92946793f2f519d5e,,,Nem tudom besorolni/Nem besorolható,Mikrobiológiai veszély,Mikotoxin,nem tudjuk a pontos veszélyt,#pancytopenia #petfood #cat,,,,EMM hírek,Médiából,Médiamegjelenés,,,,,,,,,Ismert veszély és megnövekedett kitettség,,Több információ szükséges,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,,,"Nem tudjuk a veszélyt, ezt idővel lehet változtatni kell, ha lesz több info.",2021-06-17T10:00:00.000Z,2021-07-09 10:00:00+00:00,,,,,Egyre növekszik a kedvtelésből tartott állatok megbetegedéseinek száma.,,,,,,,,,,
Essential oil-loaded nanofibers,https://trello.com/c/608804c414f1017add6aa602,Kész,,,,Nanotechnológia,Cytotoxicity: Potential harm to human cells.  Allergic Reactions: Risk of allergies or sensitivities.  Chemical Interactions: Adverse reactions with food components.  Inconsistent Release: Risk of overexposure due to variable release rates.  Ingestion Risks: Health issues if ingested accidentally.  Unknown Long-term Effects: Lack of research on long-term impacts.,#nanofibre #essentialoil,,true,,,Médiából,Publikáció,,,,,,,,,Új veszély,,Több információ szükséges,Továbbkerül az I. FÁZIS-ba,Nem igényel,,1 év,,,,,2021-04-13T10:00:00.000Z,2021-04-20 10:00:00+00:00,,,,,,,,,,,,,,,
Bacillus subtilis UD1022,https://trello.com/c/5f22bdbbc19a1d35269b0474,Kész,Kész (már volt EREN-en),Egyéb veszély,GMO,Mikrobiológiai veszély,"Technological developments (e.g. Bacillus subtilis) may entail unintended risks, in this case microbiological risks.",#salmonella #bacillus #bacillussubtilis,Több információ szükséges,true,Publikáció,EMM hírfigyelés,Médiából,Médiamegjelenés,true,,Nincs elég információ,Nincs elég információ,Nincs elég információ,2,4,6,Új veszély,Több információ szükséges,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,,,2020-07-22 10:00:00+00:00,,,,,,,,,,,,,,,
Use of novel substrates for rearing insects,https://trello.com/c/6459ff9d38d7f57facc0d428,,,,,Nem tudom besorolni/nem besorolható,"Allergen Transfer: There is a risk that allergens could be transferred through the insect rearing process.  Chemical Contaminants: Potential chemical contaminants that could be present include:  Heavy metals  Veterinary medicines  Pesticides  Persistent organic pollutants (e.g., dioxins)    Microbiological Contaminants: There is a risk of microbial contaminants, which could include mycotoxins.",#insectrearing #insect #allergen,Kiesik 3. (megfigyelés),,,EMM,Médiából,Médiamegjelenés,,,,Nincs elég információ,Nincs elég információ,2,Nincs elég információ,,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,3 hónap,,"sustainability, lack of protein",true,,,2023-04-25 10:00:00+00:00,,sustainability,,,using waste as insect rearing can be accompained by health risks,,,,,,,,,,
"Studies assess PFAS, OPEs, and plasticizers in paper & board",https://trello.com/c/63e20d28be9924dbc26038b4,,,,,Csomagolásból kioldódó anyag,"PFAS (Per- and Polyfluoroalkyl Substances):    Increased risk of cancer  Hormone disruption  Weakened immune system  Liver damage  Higher cholesterol levels     OPEs (Organophosphate Esters):    Neurotoxicity  Endocrine disruption  Respiratory issues     Plasticizers (e.g., Phthalates):    Reproductive toxicity  Hormone disruption  Increased cancer risk  Liver and kidney damage    These substances in paper and board materials can pose health risks through contact, ingestion, or inhalation.",#PFAS #OPE #plasticizer #migration #fcm #paper,III. FÁZIS,true,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),3,Nincs elég információ,4,4,14,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,3 hónap,,sustainability,true,,,2023-02-02 11:00:00+00:00,,,,,,,,,,,,,,,
UK rethinks GM approval,https://trello.com/c/5ffd5f88b05f1b70f52c03cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 év,,,,,,2021-01-12 11:00:00+00:00,,,,,,,,,,,,,,,
"New Research Reveals Pesticide Mixtures Widespread In Environment, Urging Enhanced Regulatory Measures",https://trello.com/c/65699ea7277a03313cdbff4e,,,,,Növényvédő szermaradék,Increased Toxicity  Endocrine Disruption  Neurotoxicity  Cancer Risk  Respiratory Problems  Immune System Suppression  Reproductive and Developmental Issues  Organ Damage  Allergic Reactions  These risks underscore the need for careful regulation and monitoring of pesticide mixtures to protect health.,#pesticides #persistent #environment,,,Egyéb,EMM,Médiából,Médiamegjelenés,,,1 (igen),3,Nincs elég információ,3,3,,Új bizonyíték veszély jellemzéséhez,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,,,,,2023-11-24 11:00:00+00:00,,,,,,,,,,,,,,,
Monkeypox,https://trello.com/c/628f5f18f21b1b28c241007f,,,,Vírus,Biológiai veszély,"The most common initial symptoms are fever, muscle pain, fatigue, and headache. After the appearance of the introductory symptoms, maculopapular rashes appear. The disease typically lasts 2-4 weeks. The patient is contagious from the onset of the initial symptoms through the various stages of skin manifestations until the scabs dry up and fall off.",#mpox #monkeypox #zoonosis,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,,,,,,,Ismert veszély és megnövekedett kitettség,,Kiesik 2.,,Nem igényel,Egészségügyi,,Egyéb,"Climate change, environmental destruction",true,,2022-05-07T10:00:00.000Z,2022-05-26 10:00:00+00:00,,,,,"Although it is a known zoonosis, this is the first time that the virus spreads from person to person outside of Africa, and in many cases the patients did not visit an endemic area. The virus spreads through close contact between people. It is suspected that it can be spread by small rodents, e.g. rats and may even become endemic in Europe.",,,,,,,,,,
Peruvian company innovates sustainable packaging for export fruits,https://trello.com/c/647edad323cac3bd4e049b15,,,,,,"Material Safety: The virgin fibreboard must be free of harmful chemicals that could leach into the fruit and pose health risks to consumers.    Pathogen Inhibition: If the packaging fails to adequately inhibit pathogen growth, there is a risk of contamination and foodborne illness.    Moisture Resistance: Insufficient moisture resistance could lead to spoilage or mold growth, affecting both food safety and quality.    Allergen Contamination: If the packaging is not properly manufactured, there is a risk of cross-contamination with allergens.    Biodegradability Concerns: While aiming for sustainability, it’s crucial to ensure that biodegradable components do not degrade prematurely during the supply chain, which could compromise food safety.",#virgin fibreboard#sustainable packaging,,,,EMM,Médiából,,true,,,2,2,2,2,,Nem ER,,,Továbbkerül az I. FÁZIS-ba,,,6 hónap,,,,,,2023-05-30 10:00:00+00:00,,,,,,,,,,,,,,,
Uptake and Survival of African Swine Fever Virus in Mealworm and Black Soldier Fly Larvae,https://trello.com/c/63db740d6bc6c30ce92cd11f,,,,,Mikrobiológiai veszély,"Pathogen Transmission: Insects raised on substrates containing animal waste may harbor pathogens that can be transmitted to animals and humans. This is particularly concerning with viruses like the African swine fever virus (ASFV).    Virus Survival: Studies have shown that ASFV can survive in larvae such as the mealybug and black soldier fly. This poses a risk of spreading the virus to susceptible animals through consumption of these insects.    Food Safety: If insects are used as food or feed, there is a potential risk to the food chain if they carry pathogens from contaminated substrates.    Regulatory Concerns: Current regulations limit the use of animal by-products in insect farming due to these risks, necessitating thorough risk assessments and safety evaluations before any changes can be made.",#black soldier fly#slime pig#african swine fever,,,,EMM,Médiából,Publikáció,true,,,2,3,3,2,10,Ismert veszély és megnövekedett érzékenység,,,Továbbkerül az I. FÁZIS-ba,,,6 hónap,,,,,,2023-01-24 11:00:00+00:00,,,,,,,,,,,,,,,
Australia’s first genetically modified fruit sent for approval,https://trello.com/c/647edbb95d7bad9823d963cb,,,,,GMO,A GM plant that is under approval in Australia.,#banana #gm #fungus #panamadisease,,,,EMM,Médiából,Médiamegjelenés,,,,,,,,,Új veszély,,Kiesik 2.,Továbbkerül az I. FÁZIS-ba,Nem igényel,Gazdasági és egészségügyi,1 év,,,,"It is a new GM plant, there might be no risks, but the authorization will take time.",,2023-05-30 10:00:00+00:00,,"A species of fungus threatens the Cavendish banana, GM bananas are resistant to it.",,,,,,,,,,,,,
PESTICIDES USED IN EUROPE TURN OUT TO BE “ETERNAL POLLUTANTS”: NGOS MAKE DAMNING REVELATIONS IN A REPORT PUBLISHED THIS THURSDAY,https://trello.com/c/65699dd9e29990189288bd2d,,,,,Növényvédő szermaradék,"The health risks associated with pesticides containing PFAS in the EU include cancer, persistent contamination of food and water, increased use leading to environmental pollution, and the need for a complete ban on these chemicals to reduce risks and protect public health and the environment.",#PAN #PFAS #PFOS #pesticide,,,,EMM,Médiából,Médiamegjelenés,,,,Nincs elég információ,Nincs elég információ,Nincs elég információ,2,,Új bizonyíték veszély jellemzéséhez,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,1 év,,,,,,2023-11-24 11:00:00+00:00,,,,,,,,,,,,,,,
Suspected edible oil contaminated with industrial  chemical substances,https://trello.com/c/674305fd2cbfd81735f7ed28,,,,Technológiai eredetű szennyezőanyag,Kémiai veszély,Contamination in edible oils due to malpractice in transfer,#edible #oil #contamination #malpractice #china #efsa #foodfraud,III. FÁZIS,,,EREN,Más külföldi intézménytől/szervezettől,,,,1 (igen),2,3,4,4,14,Ismert veszély és megnövekedett kitettség,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Gazdasági és egészségügyi,3 hónap,,,,,,2024-10-28 11:00:00+00:00,,Low transfer / quality assurance standars,,,Growing exposure compromises masses,,,,More information needed,,,,,,
Trifluoroacetic acid (TFA),https://trello.com/c/66dff8d9a3338a7e34e3a757,Kész,,,,,,,,true,,EMM,Médiából,,true,,,,,,,,,,,,,,1 hónap,,,,,,2024-09-03 10:00:00+00:00,,,,,,,,,ER (Action needed),,,,Kész,,
Risks related to probiotics,https://trello.com/c/66dffd2c9782d8921df22967,,,,,Mikrobiológiai veszély,The Food Safety Authority of Ireland (FSAI) has published a guidance on the safe use of probiotics in food supplements.,#Food Safety Autority of Ireland (FSAI) #guidance #probiotics #supplements,,,,EMM,Médiából,Médiamegjelenés,,,,,,,,,Új bizonyíték veszély jellemzéséhez,,Több információ szükséges,,Nem igényel,Egészségügyi,,,,,,,2024-09-03 10:00:00+00:00,,,,,,1.3.2 Microorganisms,"2.6 Food supplements, dietary foods and fortified foods",,,,,,,,
Foodborne infections caused by Edwardsiella tarda,https://trello.com/c/6743049cd8f28004c5633161,,,,Mikrobiológiai veszély,Baktérium,"New results highlighted the emerging foodborne pathogen Edwardsiella tarda, linked to aquaculture fish production and climate change, with growing concerns about its prevalence in seafood and human cases",#foodborne#infection#Edwardsiella#aquaculture#,,,,EREN,Más külföldi intézménytől/szervezettől,Publikáció,,,,,,,,,Ismert veszély és megnövekedett kitettség,,Több információ szükséges,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,"Climate change, environmental pollution, aquaculture, globalization",,,,2024-10-28 11:00:00+00:00,,Due to climate change and shift in aquaculture production,,,This bacteria pose a significant public health risk.,1.3.2.1 Viruses,3.5 Fish and marine animals,8. Climate change,More information needed,,,"5.4 Increase in productivity from other primary production technologies (e.g. management practices, aquaculture)",,,
Authorities Track Animals from Sheep Pox Hotspot Hidden Away by Owners,https://trello.com/c/678f5be4498f890b47efc833,,,,Vírus,Mikrobiológiai veszély,"Sheep and goat pox (SGP) is a highly contagious viral disease caused by Capripoxvirus, leading to significant economic losses in livestock.",,,,Egyéb,EMM,Médiából,Publikáció,,,1 (igen),2,2,3,2,10,Ismert veszély és megnövekedett kitettség,,Több információ szükséges,Továbbkerül az I. FÁZIS-ba,,Gazdasági és egészségügyi,,Médiamegjelenés,Global trade,,More information needed about the prevalence of the virus in the effected countries,,2025-01-14 11:00:00+00:00,,Poor Official Veterinarian control,,,"Sheep and goat pox (SGP) is a highly contagious viral disease caused by Capripoxvirus, leading to significant economic losses in livestock. Endemic in parts of Africa, the Middle East, and Asia, it has recurrent outbreaks in Europe, including Greece and Bulgaria.",1.3.2.1 Viruses,3.1 Cattle and other domestic ruminants,1.4 Stagnating/decreasing levels of trust in public authorities,,,,2. Global trade,,,
Water bead-related emergency room visits increased nearly 131% in 1 year,https://trello.com/c/66e94307b9d24f7e59d8bfc0,,,,,Idegen anyag,Mistaken with food could cause severe gastrointestinal symptoms,#nonfood #waterbeads #safety,,,,EMM,Médiából,,,,,,,,,,Ismert veszély és megnövekedett kitettség,,Kiesik 2.,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,Economical,,,,2024-09-10 10:00:00+00:00,,Ease of access,,,Occurence of similar cases indicates escalation,,,,,,,,,,
EU Food Safety Authority Identifies Safety Risks of Argon and Helium as Food Additives,https://trello.com/c/674da051b3b8af70d7e4c923,,,,Kémiai veszély,Adalékanyag,chemicals intentionally used in food production,#argon #helium #food additive #EFSA #assessment,,,,EMM,Médiából,,,,,,,,,,Nem ER,,Kiesik 2.,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,"chemically inert gases, toxicological effects are not expected, according to the EFSA opinion",,2024-11-26 11:00:00+00:00,,,,,chemicals intentionally used in food production,1.2.5 Food additives,2 Food,,,,,,,,
Will the expiration dates on some products soon be ending?,https://trello.com/c/68356b5dc587f2693b8d635e,,,,Egyéb veszély,Mikrobiológiai veszély,"It is proposed in France that expiration dates are removed from certain food products labels, to avoid their throwing away, thereby reducing food waste.",#expiration #food waste,,,,EMM,Médiából,,,,,,,,,,Új veszély,,Kiesik 2.,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,,,"Removal of expiration dates would concern mostly dry food products, and not fresh products, for which these dates are necessary for consumer health. In addition this issue is due in France.",,2025-04-29 10:00:00+00:00,,,,,Removing expiration rates could potentially cause illness in case of foods which are spoiled past their due dates.,1.3.2 Microorganisms,2 Food,,,,,,,,
AMR content in petfood,https://trello.com/c/61373c93d3d8eb07dfc0d2e6,,,,,Mikrobiológiai veszély,Antibiotic-resistant Enterococci have been found in dog food and raw dog food.,#petfood #AMR #dog #enterococcus,Több információ szükséges,,,,Médiából,Publikáció,,,1 (igen),Nincs elég információ,Nincs elég információ,3,3,7,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,,,More and more households have dogs and more and more people feed them raw.,2021-07-12T10:00:00.000Z,2021-08-01 10:00:00+00:00,,More and more households have dogs and more and more people feed them raw.,,,AMR and the growing problems with dog food.,,,,,,,,,Further studies and data are needed to clarify the links.,
Identification and Evaluation of (Non-)Intentionally Added Substances in Post-Consumer Recyclates and Their Toxicological Classification,https://trello.com/c/63fdc35bae49f7a57bbd97dd,,,,Csomagolásból kioldódó anyag,Kémiai veszély,(non-)intentionally added substances in post-consumer recyclates,#non-intentionally added substances (NIAS); #food packaging; #polymer contaminants; #recycling,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,,,,,,,Új bizonyíték veszély jellemzéséhez,,II. FÁZIS,,Nem igényel,Egészségügyi,,,,,,,2023-02-21 11:00:00+00:00,,,,,,,,,,,,,,,
World Healt Organisation tells everyone to avoid sweeteners in new warning,https://trello.com/c/649547f6a28580f271702f80,,,,Kémiai veszély,Adalékanyag,WHO do not recommend the use of non-sugar sweeteners to control body weight or reduce the risk of non-communicable diseases,#WHO #non-sugar sweeteners,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),3,Nincs elég információ,4,4,14,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,,,,,2023-06-06 10:00:00+00:00,,,,,,,,,,,,,,,
"FDA Says Aspartame Is Safe, Disagreeing With WHO's Cancer Link",https://trello.com/c/64d1f3aa8bfe3643c8d4cb44,,,,Adalékanyag,Kémiai veszély,possible link between aspartame and liver cancer,#aspartame #liver cancer #safe within the approved limits,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,1 (igen),Nincs elég információ,Nincs elég információ,4,4,9,Új bizonyíték veszély jellemzéséhez,,II. FÁZIS,,,,,,,,,,2023-08-01 10:00:00+00:00,,,,,,,,,,,,,,,
US researchers have identified more than half a hundred foreign compounds in mothers and newborns,https://trello.com/c/605b98929be2267164a2087b,,Kész (már volt EREN-en),,,Kémiai veszély,Several foreign chemical compounds have been identified in newborn babies.,#chemical exposures #newborn #pregnancy #,Kiesik 3. (megfigyelés),,,,Médiából,Publikáció,,,Nincs elég információ,Nincs elég információ,Nincs elég információ,3,4,,Ismert veszély és megnövekedett érzékenység,Kiesik 3. (megfigyelés),II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,1 év,,,,There is no info on what exposure means and how it affects the developing organism.,,2021-03-01 11:00:00+00:00,,(new analytical technology?),,,"The entry of these substances into the fetus is certainly of interest, but more information is needed, both on exposure routes and on the potential effects of the substances.",,,,,,,,,"The entry of these substances into the fetus is certainly of interest, but more information is needed, both on exposure routes and on the potential effects of the substances.",
Updated risk assessment highlights the need for stricter regulation on MOH in food,https://trello.com/c/652790ea0c0762e1c6e8f784,Kész,,,,Kémiai veszély,MOH in food,"#mineral oil-saturated hydrocarbon (MOSH), #mineral oil aromatic hydrocarbon (MOAH)",,,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),Nincs elég információ,Nincs elég információ,4,4,11,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,,,2023-10-13 10:00:00+00:00,,,,,,,,,,,,,,,
One in 10 young people globally have used dud or harmful weight loss supplements to achieve toned physiques,https://trello.com/c/65b8b4f5074718bbd3d7f05e,,,,,Kémiai veszély,Adolescents using harmful weight loss suplements,#adolescents #weight loss suplements #Ozempic #Wegovy #childhood obesity,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),Nincs elég információ,Nincs elég információ,4,4,11,Új veszély,III. FÁZIS,II. FÁZIS,,,Egészségügyi,,,,,,,2024-01-23 11:00:00+00:00,,,,,,,,,,,,,,,
Rise in pesticides in European fruit and vegetables,https://trello.com/c/62cd431a379e8e4f038f378c,Kész,,,,Növényvédő szermaradék,"Pesticides are carcinogenic, immunosupressive, genotoxic compounds.",#pesticide #report #PAN,,true,Médiamegjelenés,EMM,Médiából,Publikáció,true,Kommunikáció,3 (nem),Nincs elég információ,Nincs elég információ,4,4,,Ismert veszély és megnövekedett kitettség,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,3 hónap,,nem megfelelő növényvédelem,true,,2011-08-03T10:00:00.000Z,2022-06-15 10:00:00+00:00,,nem megfelelő növényvédelem,,,,,,,,,,,,,
Researchers explore link between iron supplementation and Parkinson’s progression,https://trello.com/c/63c5be34904cc1013144c9de,,To Do,,,Kémiai veszély,damage to nervous system,#parkinson #iron #supplementation,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),Nincs elég információ,Nincs elég információ,2,2,7,Új bizonyíték veszély jellemzéséhez,Több információ szükséges,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,3 hónap,,,,,,2023-01-10 11:00:00+00:00,,,,,,,,,,,,,,,
PFAS contamination from sea spray aerosols,https://trello.com/c/667aa89e8f4345d215e361d9,,,,Környezeti eredetű szennyezőanyag,Kémiai veszély,"PFAS are forever chemicals causing long-term health issues. This is a new route of exposure. PFAS have been linked to a number of adverse human health effects, including cancer, thyroid problems, and developmental problems in children",#PFAS #seaspray,,,Publikáció,EREN,Más külföldi intézménytől/szervezettől,Előadás,,,3 (nem),3,Nincs elég információ,Nincs elég információ,4,10,Új bizonyíték veszély jellemzéséhez,Kiesik 3. (megfigyelés),II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,,,2024-05-23 10:00:00+00:00,,,,,,,,,,,,,,,
Singapore approves 16 species of insects including silkworms and grasshopper for human consumption,https://trello.com/c/646c7e0437171fcb85f4abce,,,,,,1.  Allergies: Some individuals may be allergic to certain insects used for food.     Contamination: Improper processing may lead to pathogen contamination.     Toxicity: Certain insects may contain toxins or allergens.     Digestive Issues: Insect consumption may cause digestive discomfort.     Unknown Health Risks: Long-term health effects of insect consumption are not fully understood.,#grasshopper #silkworm #insect #allergen,Több információ szükséges,,,EMM,Médiából,Médiamegjelenés,,,,,,,,,Új bizonyíték veszély jellemzéséhez,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,,6 hónap,,"sustainability, food security",,,,2023-05-23 10:00:00+00:00,,,,,,,,,,,,,,,
Research shows vertical transmission of Salmonella Reading in breeders,https://trello.com/c/65f00eea518ec49f609de347,,,,,Mikrobiológiai veszély,"Salmonella Reading, a foodborn pathogen was found to be widespread in commercial turkey products, can colonize the reproductive tissues of breeder hens and be vertically transferred to eggs",#Salmonella Reading #foodborn pathogen #turkey #vertical transmission,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,1 (igen),2,Nincs elég információ,4,4,11,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,,,,,,,,2024-03-05 11:00:00+00:00,,,,,,,,,More information needed,,,,,,
Roasting can make sugar-free chocolate tastier,https://trello.com/c/621fcad013bba025d4b28be0,Kész,,,Technológiai eredetű szennyezőanyag,Kémiai veszély,"1. Acrylamide, Acrolein, and PAHs: Roasting dark chocolate at high temperatures can lead to the formation of harmful chemicals like acrylamide, acrolein, and polycyclic aromatic hydrocarbons (PAHs), which are known to be carcinogenic.     Potential Health Effects: Continuous exposure to these chemicals, even in small amounts, may pose health risks over time, especially with frequent consumption of dark chocolate roasted at higher temperatures.     Balancing Taste and Health: While modifying the taste of dark chocolate is important for consumer acceptance, it is crucial to minimize health risks by optimizing roasting processes to reduce the formation of harmful compounds.",#acrylamide #PAH #pyrazine #roasting #cocoa,III. FÁZIS,true,Publikáció,Ákos találta,Médiából,Médiamegjelenés,,,1 (igen),4,Nincs elég információ,Nincs elég információ,2,,Ismert veszély és megnövekedett kitettség,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,new consumer trends,,"new trend, increased exposure",2022-03-15T11:00:00.000Z,2022-03-15 11:00:00+00:00,,"lowering sugar consumption, new consumer trends",,,,,,,,,,,,,
